,tconst,averageRating,numVotes,weightedRating,primaryTitle,startYear,runtimeMinutes
108768,tt0111161,9.3,2135820,9.273389731675937,The Shawshank Redemption,1994,142
67299,tt0068646,9.2,1466422,9.163122442876663,The Godfather,1972,175
450810,tt0468569,9.0,2100346,8.976474418753464,The Dark Knight,2008,152
70122,tt0071562,9.0,1020272,8.95216556073443,The Godfather: Part II,1974,202
108521,tt0110912,8.9,1676332,8.872080699122806,Pulp Fiction,1994,154
161833,tt0167260,8.9,1518938,8.869234515893774,The Lord of the Rings: The Return of the King,2003,201
105716,tt0108052,8.9,1108551,8.858096283272655,Schindler's List,1993,195
49204,tt0050083,8.9,609244,8.825107687262316,12 Angry Men,1957,96
1802908,tt1375666,8.8,1873217,8.776293542835198,Inception,2010,148
133743,tt0137523,8.8,1707475,8.774025599214998,Fight Club,1999,139
107457,tt0109830,8.8,1643754,8.773033772503318,Forrest Gump,1994,142
117966,tt0120737,8.8,1534574,8.771145966783237,The Lord of the Rings: The Fellowship of the Ring,2001,178
59067,tt0060196,8.8,634352,8.73175117387981,"The Good, the Bad and the Ugly",1966,161
129543,tt0133093,8.7,1538174,8.672811727933038,The Matrix,1999,136
161834,tt0167261,8.7,1373898,8.669618942910777,The Lord of the Rings: The Two Towers,2002,179
78992,tt0080684,8.7,1068929,8.66114921535127,Star Wars: Episode V - The Empire Strikes Back,1980,124
97516,tt0099685,8.7,922999,8.655168729080936,Goodfellas,1990,146
71995,tt0073486,8.7,844871,8.651142180852103,One Flew Over the Cuckoo's Nest,1975,133
4262336,tt5813916,9.0,101389,8.604395952179383,The Mountain II,2016,135
792039,tt0816692,8.6,1329696,8.570473080307316,Interstellar,2014,169
111888,tt0114369,8.6,1312566,8.57009493363318,Se7en,1995,127
100687,tt0102926,8.6,1156808,8.5661535545537,The Silence of the Lambs,1991,118
75176,tt0076759,8.6,1137831,8.565601192262676,Star Wars: Episode IV - A New Hope,1977,121
118030,tt0120815,8.6,1131825,8.56542260065265,Saving Private Ryan,1998,169
117929,tt0120689,8.6,1037517,8.562353543519773,The Green Mile,1999,189
304183,tt0317248,8.6,653952,8.541085673214013,City of God,2002,130
235480,tt0245429,8.6,570191,8.532794682715295,Spirited Away,2001,125
116149,tt0118799,8.6,564173,8.532108226276492,Life Is Beautiful,1997,116
3522328,tt4154796,8.6,559461,8.531560874036076,Avengers: Endgame,2019,181
37987,tt0038650,8.6,363262,8.49697678371821,It's a Wonderful Life,1946,130
46643,tt0047478,8.6,289258,8.472716048597013,Seven Samurai,1954,207
166769,tt0172495,8.5,1232950,8.470189594181008,Gladiator,2000,155
391688,tt0407887,8.5,1093667,8.466477959929094,The Departed,2006,151
464387,tt0482571,8.5,1084287,8.466194501513135,The Prestige,2006,130
117847,tt0120586,8.5,965078,8.462124196275445,American History X,1998,119
86847,tt0088763,8.5,955282,8.461745701747049,Back to the Future,1985,116
108030,tt0110413,8.5,944460,8.461318672250531,Léon: The Professional,1994,110
100825,tt0103064,8.5,923060,8.460445541421429,Terminator 2: Judgment Day,1991,137
112316,tt0114814,8.5,921009,8.460359785160607,The Usual Suspects,1995,106
107974,tt0110357,8.5,861280,8.457688315205127,The Lion King,1994,88
3522309,tt4154756,8.5,708099,8.448847290747906,Avengers: Infinity War,2018,149
2092245,tt1675434,8.5,690388,8.447580893165666,The Intouchables,2011,112
243124,tt0253474,8.5,657197,8.445030541031404,The Pianist,2002,150
2843853,tt2582802,8.5,632135,8.442934100299025,Whiplash,2014,106
53216,tt0054215,8.5,548946,8.434662842845842,Psycho,1960,109
33984,tt0034583,8.5,483895,8.426310928580552,Casablanca,1942,102
